date,store,category,units_sold,unit_price,promotion,day_of_week,is_weekend,month,revenue
2024-01-01,Store_A,Electronics,6,167.38,0,0,0,1,1004.26
2024-01-01,Store_A,Groceries,44,16.01,1,0,0,1,704.51
2024-01-01,Store_A,Clothing,14,17.75,0,0,0,1,248.51
2024-01-01,Store_A,Home_Goods,7,46.57,0,0,0,1,325.96
2024-01-01,Store_A,Toys,8,,0,0,0,1,161.58
2024-01-01,Store_A,Beauty,21,21.83,1,0,0,1,458.47
2024-01-01,Store_B,Electronics,5,203.35,0,0,0,1,1016.75
2024-01-01,Store_B,Groceries,32,20.97,0,0,0,1,670.98
2024-01-01,Store_B,Clothing,14,21.17,1,0,0,1,296.42
2024-01-01,Store_B,Home_Goods,9,31.25,0,0,0,1,281.26
2024-01-01,Store_B,Toys,4,10.99,1,0,0,1,43.98
2024-01-01,Store_B,Beauty,13,22.61,1,0,0,1,293.91
2024-01-01,Store_C,Electronics,11,77.44,0,0,0,1,851.81
2024-01-01,Store_C,Groceries,55,20.21,0,0,0,1,1111.69
2024-01-01,Store_C,Clothing,23,32.88,0,0,0,1,756.2
2024-01-01,Store_C,Home_Goods,17,48.6,0,0,0,1,826.15
2024-01-01,Store_C,Toys,11,22.53,0,0,0,1,247.78
2024-01-01,Store_C,Beauty,18,20.43,1,0,0,1,367.79
2024-01-01,Store_D,Electronics,1,40.34,0,0,0,1,40.34
2024-01-01,Store_D,Groceries,17,16.73,0,0,0,1,284.37
2024-01-01,Store_D,Clothing,9,25.57,0,0,0,1,230.12
2024-01-01,Store_D,Home_Goods,5,76.06,0,0,0,1,380.3
2024-01-01,Store_D,Toys,4,24.72,0,0,0,1,98.89
2024-01-01,Store_D,Beauty,10,12.99,0,0,0,1,129.88
2024-01-01,Store_E,Electronics,4,73.48,0,0,0,1,293.92
2024-01-01,Store_E,Groceries,28,15.34,0,0,0,1,429.6
2024-01-01,Store_E,Clothing,23,27.17,0,0,0,1,624.85
2024-01-01,Store_E,Home_Goods,15,50.17,0,0,0,1,752.54
2024-01-01,Store_E,Toys,12,29.94,0,0,0,1,359.29
2024-01-01,Store_E,Beauty,18,23.21,1,0,0,1,417.73
2024-01-02,Store_A,Electronics,12,106.46,1,1,0,1,1277.5
2024-01-02,Store_A,Groceries,40,8.92,0,1,0,1,356.63
2024-01-02,Store_A,Clothing,13,42.7,0,1,0,1,555.1
2024-01-02,Store_A,Home_Goods,13,74.03,0,1,0,1,962.34
2024-01-02,Store_A,Toys,11,27.22,1,1,0,1,299.47
2024-01-02,Store_A,Beauty,18,18.56,0,1,0,1,334.12
2024-01-02,Store_B,Electronics,4,87.87,0,1,0,1,351.49
2024-01-02,Store_B,Groceries,28,17.41,0,1,0,1,487.55
2024-01-02,Store_B,Clothing,11,30.53,0,1,0,1,335.88
2024-01-02,Store_B,Home_Goods,13,67.85,0,1,0,1,882.0
2024-01-02,Store_B,Toys,13,21.12,0,1,0,1,274.52
2024-01-02,Store_B,Beauty,12,20.49,0,1,0,1,245.89
2024-01-02,Store_C,Electronics,4,166.81,0,1,0,1,667.25
2024-01-02,Store_C,Groceries,47,15.64,0,1,0,1,735.21
2024-01-02,Store_C,Clothing,27,41.34,1,1,0,1,1116.16
2024-01-02,Store_C,Home_Goods,13,67.43,0,1,0,1,876.61
2024-01-02,Store_C,Toys,9,18.83,0,1,0,1,169.43
2024-01-02,Store_C,Beauty,12,29.97,0,1,0,1,359.61
2024-01-02,Store_D,Electronics,8,158.01,0,1,0,1,1264.06
2024-01-02,Store_D,Groceries,24,9.74,1,1,0,1,233.82
2024-01-02,Store_D,Clothing,19,21.87,1,1,0,1,415.55
2024-01-02,Store_D,Home_Goods,6,54.11,0,1,0,1,324.64
2024-01-02,Store_D,Toys,5,23.38,0,1,0,1,116.9
2024-01-02,Store_D,Beauty,12,20.37,0,1,0,1,244.38
2024-01-02,Store_E,Electronics,5,86.97,1,1,0,1,434.86
2024-01-02,Store_E,Groceries,50,16.36,1,1,0,1,818.04
2024-01-02,Store_E,Clothing,18,26.71,0,1,0,1,480.78
2024-01-02,Store_E,Home_Goods,9,46.6,0,1,0,1,419.38
2024-01-02,Store_E,Toys,13,27.59,0,1,0,1,358.71
2024-01-02,Store_E,Beauty,13,19.22,0,1,0,1,249.85
2024-01-03,Store_A,Electronics,8,57.3,0,2,0,1,458.4
2024-01-03,Store_A,Groceries,35,,0,2,0,1,834.83
2024-01-03,Store_A,Clothing,20,30.67,0,2,0,1,613.34
2024-01-03,Store_A,Home_Goods,13,58.06,0,2,0,1,754.75
2024-01-03,Store_A,Toys,11,16.73,1,2,0,1,184.07
